Fuente Concat,Finalidad,Unidad Responsable,Monto ejercido
Recursos Federales etiquetados,Gobierno,Secretaría De Seguridad Pública,323481732.2
Recursos Federales etiquetados,Gobierno,Sistema Para El Desarrollo Integral De La Familia,216572101.4
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Agencia De Gestión Urbana De La Ciudad De México,22457760.8
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Coordinación De Los Centros De Transferencia Modal,154777587.3
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Álvaro Obregón,1374980.87
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Azcapotzalco,2439712.6
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Benito Juárez,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Coyoacán,35215000
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Cuajimalpa De Morelos,1999607
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Cuauhtémoc,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Gustavo A. Madero,68019700.48
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Iztacalco,3819013.18
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación La Magdalena Contreras,1245016
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Miguel Hidalgo,14392545.1
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Milpa Alta,54176
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Tláhuac,180912
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Tlalpan,3162029
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Venustiano Carranza,10365011.12
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Delegación Xochimilco,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Fideicomiso Museo De Arte Popular Mexicano,140000
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Fideicomiso Para El Fondo De Promoción Para El Financiamiento Del Transporte Público,92600000
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Fondo Mixto De Promoción Turística De La Ciudad De México,800220715.1
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Fondo Para El Desarrollo Económico Y Social,41858023.17
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Fondo Para El Desarrollo Social,131492413.6
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Fondo Público De Atención Al Ciclista Y Al Peatón,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Metrobús,2116543975
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Órgano Regulador De Transporte,16229615.71
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Planta De Asfalto De La Ciudad De México,509850095.3
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Proyecto Metro De La Ciudad De México,15030357.74
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,"Secretaría De Ciencia, Tecnología E Innovación",278699390.6
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Secretaría De Desarrollo Económico,308053069.2
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Secretaría De Desarrollo Rural Y Equidad Para Las Comunidades,216039145.3
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Secretaría De Gobierno,17815671.18
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Secretaría De Movilidad,562802073.5
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Secretaría De Obras Y Servicios,3070713299
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Secretaría De Turismo,85987515.93
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Secretaría Del Trabajo Y Fomento Al Empleo,40500759.55
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Servicio De Transportes Eléctricos De La Ciudad De México,1110266700
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Sistema De Movilidad 1,2088115341
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Sistema De Transporte Colectivo Metro,1679859428
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Económico,Sistema Para El Desarrollo Integral De La Familia,10717102.07
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Agencia De Atención Animal De La Ciudad De México,9202141.9
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Agencia De Gestión Urbana De La Ciudad De México,1993872215
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Agencia De Protección Sanitaria,13882953.88
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Agencia De Resiliencia De La Ciudad De México,13786990.88
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,"Autoridad de la Zona Patrimonio Mundial Natural y Cultural de la Humanidad en Xochimilco, Tláhuac y Milpa Alta",37546069.49
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Autoridad Del Centro Histórico,35523053.04
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Autoridad Del Espacio Público,10166695.49
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Caja De Previsión De La Policía Preventiva,231122651
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Caja De Previsión Para Trabajadores A Lista De Raya,1916020239
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Consejo Para Prevenir Y Eliminar La Discriminación,45437697.26
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Álvaro Obregón,222673305.4
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Azcapotzalco,112643963.4
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Benito Juárez,61474647.14
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Coyoacán,477310007.6
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Cuajimalpa De Morelos,580984796.5
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Cuauhtémoc,210653553
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Gustavo A. Madero,340272704.4
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Iztacalco,167553552.9
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Iztapalapa,840193238.3
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación La Magdalena Contreras,340053748.2
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Miguel Hidalgo,154050614.6
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Milpa Alta,145889111.9
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Tláhuac,99698996.15
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Tlalpan,136677478
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Venustiano Carranza,467321281.5
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Delegación Xochimilco,96490332.25
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Escuela De Administración Pública,29890702.79
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Fideicomiso De Recuperación Crediticia,36562305
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Fideicomiso Del Centro Histórico,92641394.52
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Fideicomiso Educación Garantizada,3263694844
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Fideicomiso Museo De Arte Popular Mexicano,19328866.2
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Fideicomiso Museo Del Estanquillo,22763029.82
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Fideicomiso Para La Promoción Y Desarrollo Del Cine Mexicano,4893414
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Fideicomiso Público Para La Reconstrucción Y Rehabilitación De Viviendas De Uso Habitacional,3983093820
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Fondo Ambiental Público,489582136.7
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Fondo Para Las Acciones De Reconstrucción Y Para Otras Previsiones,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Heroico Cuerpo De Bomberos,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Instituto De Capacitación Para El Trabajo De La Ciudad De México,52966599.41
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Instituto De Educación Media Superior,1705644284
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Instituto De La Juventud,156780819.8
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Instituto De Vivienda,7839484673
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Instituto Del Deporte,134365192.6
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Instituto Local De La Infraestructura Física Educativa,47835917.46
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Instituto Para La Atención Y Prevención De Las Adicciones En La Ciudad De México,145088093.4
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,"Procdmx, S.A. De C.V.",26093311.75
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Procuraduría General De Justicia,12453841.34
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Procuraduría Social,171474988.5
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Régimen De Protección Social En Salud,3859416
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría De Cultura,562102036.9
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría De Desarrollo Rural Y Equidad Para Las Comunidades,67784428.36
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría De Desarrollo Social,3406856871
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría De Desarrollo Urbano Y Vivienda,344152596.6
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría De Educación,606519282.6
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría De Gobierno,42044872.47
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría De Movilidad,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría De Obras Y Servicios,607747474.1
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría De Salud,7879651548
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría De Seguridad Pública,636287.82
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría Del Medio Ambiente,1015658373
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Secretaría Del Trabajo Y Fomento Al Empleo,441131425.3
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Servicios De Salud Pública,212830283.4
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Sistema De Aguas De La Ciudad De México,2303796590
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Sistema De Radio Y Televisión Digital,106852243.3
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Sistema De Transporte Colectivo Metro,387651.12
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Sistema Para El Desarrollo Integral De La Familia,3525899202
RecursosFiscales y Otros Reursos de Libre Dsiposición,Desarrollo Social,Universidad Autónoma De La Ciudad De México,1191870037
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Agencia De Atención Animal De La Ciudad De México,159216.27
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Agencia De Gestión Urbana De La Ciudad De México,384538058.3
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Agencia De Protección Sanitaria,154624.05
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Agencia De Resiliencia De La Ciudad De México,303012.92
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Asamblea Legislativa,2366054290
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Auditoría Superior De La Ciudad De México,755084655
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,"Autoridad de la Zona Patrimonio Mundial Natural y Cultural de la Humanidad en Xochimilco, Tláhuac y Milpa Alta",0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Autoridad Del Centro Histórico,24940
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Autoridad Del Espacio Público,32217493.51
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,"Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano",164278731.2
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Comisión De Derechos Humanos,435447554
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Consejería Jurídica Y De Servicios Legales,1322724701
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Consejo De Evaluación Del Desarrollo Social,37867065.12
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Consejo De La Judicatura De La Ciudad De México,213514882
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Consejo Para Prevenir Y Eliminar La Discriminación,15864.01
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Coordinación De Los Centros De Transferencia Modal,1488870.21
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Álvaro Obregón,104179741.4
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Azcapotzalco,1180925.11
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Benito Juárez,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Coyoacán,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Cuajimalpa De Morelos,26641362.72
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Cuauhtémoc,23602438.48
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Gustavo A. Madero,205818055.6
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Iztacalco,59839010.54
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Iztapalapa,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación La Magdalena Contreras,111555778.8
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Miguel Hidalgo,4776194.08
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Milpa Alta,55087599.4
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Tláhuac,117974498.3
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Tlalpan,73752153.23
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Venustiano Carranza,99008274.72
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Delegación Xochimilco,83357383.07
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Deuda Pública,130294983.1
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Escuela De Administración Pública,74424949.3
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Fideicomiso De Recuperación Crediticia,19090828
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Fideicomiso Del Centro Histórico,8846948.63
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Fideicomiso Educación Garantizada,1283934.37
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Fideicomiso Museo De Arte Popular Mexicano,56000
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Fideicomiso Museo Del Estanquillo,383767.78
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Fideicomiso Para La Promoción Y Desarrollo Del Cine Mexicano,75000
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Fondo De Apoyo A La Procuración De Justicia,16594079.18
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Fondo Mixto De Promoción Turística De La Ciudad De México,483793.7
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Fondo Para El Desarrollo Económico Y Social,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Fondo Para La Atención Y Apoyo A Las Víctimas Del Delito,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Fondo Para Las Acciones De Reconstrucción Y Para Otras Previsiones,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Heroico Cuerpo De Bomberos,2097653615
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto De Capacitación Para El Trabajo De La Ciudad De México,27224.04
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto De Educación Media Superior,6159280.82
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto De Formación Profesional,36444017.68
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto De La Juventud,65543891.79
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto De Las Mujeres,266742101.9
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto De Las Personas Con Discapacidad De La Ciudad De México,50590132.91
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,"Instituto De Transparencia, Acceso A La Información Pública, Protección De Datos Personales Y Rendición De Cuentas De La Ciudad De México",143448360
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto De Verificación Administrativa,768466880.1
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto Del Deporte,6982574.54
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto Electoral,2028180768
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto Local De La Infraestructura Física Educativa,924955.88
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto Para La Atención Y Prevención De Las Adicciones En La Ciudad De México,297528.26
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Instituto Para La Seguridad De Las Construcciones,273168487.4
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Jefatura de Gobierno,189315206.9
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Junta Local De Conciliación Y Arbitraje,432620832
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Mecanismo Para La Protección Integral De Personas Defensoras De Derechos Humanos Y Periodistas De La Ciudad De México,26811197.7
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Metrobús,245000
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Oficialía Mayor,788270506.4
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Órgano Regulador De Transporte,0
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Planta De Asfalto De La Ciudad De México,450000
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Policía Auxiliar,6434025612
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Policía Bancaria E Industrial,4078431489
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,"Procdmx, S.A. De C.V.",1711831.5
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Procuraduría Ambiental Y Del Ordenamiento Territorial,212180202.5
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Procuraduría General De Justicia,1690801693
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Procuraduría Social,196544497.8
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Proyecto Metro De La Ciudad De México,104122.75
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,"Secretaría De Ciencia, Tecnología E Innovación",1074980.36
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Cultura,1429089.47
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Desarrollo Económico,11125397.56
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Desarrollo Rural Y Equidad Para Las Comunidades,8349351.11
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Desarrollo Social,14535514.26
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Desarrollo Urbano Y Vivienda,68303859.75
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Educación,76689730.3
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Finanzas,1679961487
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Gobierno,609144788.7
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaria De La Contraloría General De La Ciudad De México,437791310.6
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Movilidad,836820487.1
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Obras Y Servicios,395370198.4
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Protección Civil,125549177
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Salud,3007881.37
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Seguridad Pública,1557195138
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría De Turismo,57000
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría Del Medio Ambiente,622598.89
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría Del Trabajo Y Fomento Al Empleo,69611122.29
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Secretaría Ejecutiva Del Mecanismo De Seguimiento Y Evaluación Del Programa De Derechos Humanos,8740362.64
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Servicio De Transportes Eléctricos De La Ciudad De México,686435432.9
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Sistema De Movilidad 1,333383904.9
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Sistema De Radio Y Televisión Digital,1516878
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Sistema De Transporte Colectivo Metro,81487833.02
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Sistema Para El Desarrollo Integral De La Familia,567290055.7
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Tesorería,3652356735
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Tribunal De Justicia Administrativa De La Ciudad De México,525046942
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Tribunal Electoral,336233978
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Tribunal Superior De Justicia De La Ciudad De México,6207047517
RecursosFiscales y Otros Reursos de Libre Dsiposición,Gobierno,Universidad De La Policía De La Ciudad De México,108498255.7
RecursosFiscales y Otros Reursos de Libre Dsiposición,Otras no Clasificadas en Funciones Anteriores,Deuda Pública,6390468797
